Date,Time,Open,Close,High,Low,Volume
2010.10.26,00:00,1.39618,1.39810,1.38250,1.38579,119758
2010.10.27,00:00,1.38576,1.38776,1.37336,1.37675,128944
2010.10.28,00:00,1.37681,1.39445,1.37632,1.39293,98317
2010.10.29,00:00,1.39301,1.39507,1.38066,1.39452,95114
2010.11.01,00:00,1.39652,1.40105,1.38633,1.38956,109090
2010.11.02,00:00,1.38958,1.40574,1.38811,1.40324,99205
2010.11.03,00:00,1.40323,1.41914,1.39915,1.41323,106979
2010.11.04,00:00,1.41303,1.42814,1.41017,1.42166,121202
2010.11.05,00:00,1.42162,1.42481,1.40234,1.40307,90212
2010.11.08,00:00,1.40570,1.40849,1.38867,1.39188,105237
2010.11.09,00:00,1.39189,1.39733,1.37508,1.37718,153173
2010.11.10,00:00,1.37716,1.38250,1.36700,1.37819,150447
2010.11.11,00:00,1.37812,1.38199,1.36367,1.36661,90288
2010.11.12,00:00,1.36663,1.37759,1.35730,1.36884,115764
2010.11.15,00:00,1.37055,1.37498,1.35628,1.35856,114754
2010.11.16,00:00,1.35857,1.36549,1.34469,1.34889,121047
2010.11.17,00:00,1.34884,1.35653,1.34598,1.35291,114969
2010.11.18,00:00,1.35277,1.36670,1.35243,1.36404,200438
2010.11.19,00:00,1.36403,1.37308,1.36076,1.36704,172434
2010.11.22,00:00,1.37176,1.37854,1.35754,1.36255,195323
2010.11.23,00:00,1.36259,1.36326,1.33607,1.33661,262506
2010.11.24,00:00,1.33661,1.34208,1.32834,1.33335,257707
2010.11.25,00:00,1.33342,1.33866,1.32860,1.33588,155648
2010.11.26,00:00,1.33587,1.33616,1.32000,1.32399,206747
2010.11.29,00:00,1.32814,1.33013,1.30632,1.31246,249646
2010.11.30,00:00,1.31248,1.31498,1.29683,1.29814,272028
2010.12.01,00:00,1.29830,1.31813,1.29704,1.31377,257432
2010.12.02,00:00,1.31373,1.32466,1.30598,1.32085,242437
2010.12.03,00:00,1.32083,1.34372,1.31922,1.34120,217867
2010.12.06,00:00,1.33755,1.34217,1.32458,1.33061,220745
2010.12.07,00:00,1.33058,1.34001,1.32570,1.32606,244295
2010.12.08,00:00,1.32608,1.32796,1.31791,1.32601,257162
2010.12.09,00:00,1.32596,1.33221,1.31639,1.32378,229533
2010.12.10,00:00,1.32368,1.32804,1.31779,1.32222,181045
2010.12.13,00:00,1.31962,1.34328,1.31816,1.33899,190995
2010.12.14,00:00,1.33904,1.34975,1.33619,1.33765,228066
2010.12.15,00:00,1.33765,1.33811,1.32079,1.32123,251867
2010.12.16,00:00,1.32131,1.32655,1.31808,1.32433,195519
2010.12.17,00:00,1.32433,1.33586,1.31320,1.31868,205013
2010.12.20,00:00,1.31843,1.31860,1.30941,1.31296,163319
2010.12.21,00:00,1.31298,1.32011,1.30723,1.30999,161417
2010.12.22,00:00,1.30994,1.31809,1.30775,1.30993,148178
2010.12.23,00:00,1.30995,1.31507,1.30549,1.31131,97455
2010.12.24,00:00,1.31130,1.31471,1.30914,1.31208,28653
2010.12.27,00:00,1.31136,1.31698,1.30707,1.31648,99863
2010.12.28,00:00,1.31630,1.32737,1.30927,1.31148,149474
2010.12.29,00:00,1.31147,1.32380,1.30828,1.32243,126572
2010.12.30,00:00,1.32245,1.33140,1.32158,1.32876,132364
2010.12.31,00:00,1.32890,1.34238,1.32843,1.33608,109400
2011.01.03,00:00,1.33452,1.33942,1.32495,1.33597,106967
2011.01.04,00:00,1.33598,1.34328,1.32918,1.33067,83108
2011.01.05,00:00,1.33069,1.33245,1.31255,1.31489,85689
2011.01.06,00:00,1.31488,1.31698,1.29971,1.30023,80394
2011.01.07,00:00,1.30022,1.30204,1.29045,1.29057,86355
2011.01.10,00:00,1.28750,1.29638,1.28721,1.29504,77659
2011.01.11,00:00,1.29504,1.29913,1.29048,1.29732,82912
2011.01.12,00:00,1.29730,1.31439,1.29616,1.31312,88719
2011.01.13,00:00,1.31304,1.33826,1.30887,1.33633,87816
2011.01.14,00:00,1.33632,1.34552,1.33145,1.33869,88025
2011.01.17,00:00,1.33846,1.33846,1.32454,1.32932,63004
2011.01.18,00:00,1.32934,1.34644,1.32531,1.33868,86812
2011.01.19,00:00,1.33858,1.35372,1.33683,1.34726,90735
2011.01.20,00:00,1.34731,1.35226,1.33959,1.34718,93010
2011.01.21,00:00,1.34714,1.36236,1.34484,1.36136,87200
2011.01.24,00:00,1.36421,1.36851,1.35399,1.36372,83863
2011.01.25,00:00,1.36373,1.37024,1.35728,1.36811,93187
2011.01.26,00:00,1.36817,1.37209,1.36421,1.37121,91621
2011.01.27,00:00,1.37121,1.37574,1.36370,1.37327,95387
2011.01.28,00:00,1.37327,1.37455,1.35834,1.36079,89605
2011.01.31,00:00,1.35880,1.37385,1.35702,1.36934,89680
2011.02.01,00:00,1.36936,1.38420,1.36896,1.38279,93010
2011.02.02,00:00,1.38284,1.38607,1.37673,1.38081,88326
2011.02.03,00:00,1.38079,1.38248,1.36091,1.36331,85908
2011.02.04,00:00,1.36330,1.36762,1.35435,1.35804,76374
2011.02.07,00:00,1.35634,1.36257,1.35080,1.35817,82161
2011.02.08,00:00,1.35817,1.36878,1.35720,1.36247,88533
2011.02.09,00:00,1.36246,1.37432,1.36108,1.37319,83649
2011.02.10,00:00,1.37316,1.37340,1.35771,1.36017,82256
2011.02.11,00:00,1.36015,1.36203,1.34971,1.35513,79422
2011.02.14,00:00,1.35082,1.35579,1.34279,1.34882,74981
2011.02.15,00:00,1.34881,1.35500,1.34608,1.34859,81384
2011.02.16,00:00,1.34857,1.35873,1.34620,1.35680,83807
2011.02.17,00:00,1.35675,1.36183,1.35367,1.36084,77605
2011.02.18,00:00,1.36083,1.37141,1.35450,1.36923,80254
2011.02.21,00:00,1.37003,1.37150,1.36470,1.36775,53629
2011.02.22,00:00,1.36779,1.37026,1.35275,1.36494,85263
2011.02.23,00:00,1.36490,1.37859,1.36479,1.37477,76392
2011.02.24,00:00,1.37503,1.38180,1.37040,1.37992,78197
2011.02.25,00:00,1.37989,1.38373,1.37237,1.37523,70053
2011.02.28,00:00,1.37574,1.38547,1.37110,1.38057,73432
2011.03.01,00:00,1.38055,1.38531,1.37628,1.37763,82113
2011.03.02,00:00,1.37762,1.38897,1.37429,1.38646,85569
2011.03.03,00:00,1.38646,1.39730,1.38329,1.39687,78685
2011.03.04,00:00,1.39683,1.40057,1.39404,1.39863,70029
2011.03.07,00:00,1.39884,1.40353,1.39550,1.39679,74860
2011.03.08,00:00,1.39677,1.39883,1.38621,1.39039,71546
2011.03.09,00:00,1.39037,1.39411,1.38554,1.39078,72559
2011.03.10,00:00,1.39076,1.39236,1.37748,1.37966,78158
2011.03.11,00:00,1.37969,1.39147,1.37519,1.39017,78127
2011.03.14,00:00,1.39684,1.40026,1.39043,1.39878,76961
2011.03.15,00:00,1.39889,1.40123,1.38550,1.39971,89437
2011.03.16,00:00,1.39970,1.40003,1.38665,1.39303,90578
2011.03.17,00:00,1.39335,1.40518,1.38690,1.40189,94218
2011.03.18,00:00,1.40170,1.41832,1.39801,1.41804,82676
2011.03.21,00:00,1.41758,1.42394,1.41405,1.42185,65140
2011.03.22,00:00,1.42165,1.42479,1.41786,1.41982,69045
